in Sa,Frequency in Hz,Gain in dB,Phase in Â°,Amplitude in Vpp
1.00E+00,1.000E+01,-4.330E-02,-6.645E-01,2.500E+00
2.00E+00,1.023E+01,-4.338E-02,-7.351E-01,2.500E+00
3.00E+00,1.047E+01,-4.492E-02,-7.800E-01,2.500E+00
4.00E+00,1.072E+01,-4.602E-02,-8.205E-01,2.500E+00
5.00E+00,1.096E+01,-4.491E-02,-8.610E-01,2.500E+00
6.00E+00,1.122E+01,-4.836E-02,-8.733E-01,2.500E+00
7.00E+00,1.148E+01,-5.043E-02,-8.904E-01,2.500E+00
8.00E+00,1.175E+01,-4.742E-02,-9.105E-01,2.500E+00
9.00E+00,1.202E+01,-4.765E-02,-9.418E-01,2.500E+00
1.00E+01,1.230E+01,-4.958E-02,-9.570E-01,2.500E+00
1.10E+01,1.259E+01,-5.099E-02,-9.692E-01,2.500E+00
1.20E+01,1.288E+01,-4.793E-02,-1.014E+00,2.500E+00
1.30E+01,1.318E+01,-5.018E-02,-1.016E+00,2.500E+00
1.40E+01,1.349E+01,-4.701E-02,-1.054E+00,2.500E+00
1.50E+01,1.380E+01,-4.907E-02,-1.068E+00,2.500E+00
1.60E+01,1.413E+01,-5.027E-02,-1.094E+00,2.500E+00
1.70E+01,1.445E+01,-5.077E-02,-1.130E+00,2.500E+00
1.80E+01,1.479E+01,-4.982E-02,-1.135E+00,2.500E+00
1.90E+01,1.514E+01,-4.909E-02,-1.161E+00,2.500E+00
2.00E+01,1.549E+01,-4.917E-02,-1.203E+00,2.500E+00
2.10E+01,1.585E+01,-5.074E-02,-1.229E+00,2.500E+00
2.20E+01,1.622E+01,-5.043E-02,-1.252E+00,2.500E+00
2.30E+01,1.660E+01,-5.152E-02,-1.267E+00,2.500E+00
2.40E+01,1.698E+01,-5.100E-02,-1.316E+00,2.500E+00
2.50E+01,1.738E+01,-5.180E-02,-1.335E+00,2.500E+00
2.60E+01,1.778E+01,-5.156E-02,-1.365E+00,2.500E+00
2.70E+01,1.820E+01,-5.299E-02,-1.397E+00,2.500E+00
2.80E+01,1.862E+01,-5.334E-02,-1.414E+00,2.500E+00
2.90E+01,1.905E+01,-5.340E-02,-1.470E+00,2.500E+00
3.00E+01,1.950E+01,-5.397E-02,-1.485E+00,2.500E+00
3.10E+01,1.995E+01,-5.443E-02,-1.521E+00,2.500E+00
3.20E+01,2.042E+01,-5.244E-02,-1.540E+00,2.500E+00
3.30E+01,2.089E+01,-5.469E-02,-1.594E+00,2.500E+00
3.40E+01,2.138E+01,-5.511E-02,-1.628E+00,2.500E+00
3.50E+01,2.188E+01,-5.788E-02,-1.653E+00,2.500E+00
3.60E+01,2.239E+01,-5.604E-02,-1.690E+00,2.500E+00
3.70E+01,2.291E+01,-5.877E-02,-1.731E+00,2.500E+00
3.80E+01,2.344E+01,-5.358E-02,-1.766E+00,2.500E+00
3.90E+01,2.399E+01,-5.690E-02,-1.816E+00,2.500E+00
4.00E+01,2.455E+01,-5.621E-02,-1.847E+00,2.500E+00
4.10E+01,2.512E+01,-6.124E-02,-1.886E+00,2.500E+00
4.20E+01,2.570E+01,-5.559E-02,-1.940E+00,2.500E+00
4.30E+01,2.630E+01,-5.637E-02,-1.973E+00,2.500E+00
4.40E+01,2.692E+01,-5.653E-02,-2.017E+00,2.500E+00
4.50E+01,2.754E+01,-6.049E-02,-2.048E+00,2.500E+00
4.60E+01,2.818E+01,-5.724E-02,-2.124E+00,2.500E+00
4.70E+01,2.884E+01,-5.471E-02,-2.156E+00,2.500E+00
4.80E+01,2.951E+01,-6.051E-02,-2.199E+00,2.500E+00
4.90E+01,3.020E+01,-2.895E-03,-2.526E+00,2.500E+00
5.00E+01,3.090E+01,-5.540E-04,-2.589E+00,2.500E+00
5.10E+01,3.162E+01,1.423E-03,-2.644E+00,2.500E+00
5.20E+01,3.236E+01,7.538E-04,-2.705E+00,2.500E+00
5.30E+01,3.311E+01,2.575E-03,-2.773E+00,2.500E+00
5.40E+01,3.388E+01,3.464E-03,-2.842E+00,2.500E+00
5.50E+01,3.467E+01,3.230E-03,-2.886E+00,2.500E+00
5.60E+01,3.548E+01,4.665E-03,-2.976E+00,2.500E+00
5.70E+01,3.631E+01,9.272E-03,-3.052E+00,2.500E+00
5.80E+01,3.715E+01,6.561E-03,-3.117E+00,2.500E+00
5.90E+01,3.802E+01,8.399E-03,-3.183E+00,2.500E+00
6.00E+01,3.890E+01,1.296E-02,-3.256E+00,2.500E+00
6.10E+01,3.981E+01,1.458E-02,-3.344E+00,2.500E+00
6.20E+01,4.074E+01,1.346E-02,-3.400E+00,2.500E+00
6.30E+01,4.169E+01,1.810E-02,-3.482E+00,2.500E+00
6.40E+01,4.266E+01,1.862E-02,-3.578E+00,2.500E+00
6.50E+01,4.365E+01,2.138E-02,-3.650E+00,2.500E+00
6.60E+01,4.467E+01,2.411E-02,-3.742E+00,2.500E+00
6.70E+01,4.571E+01,2.231E-02,-3.827E+00,2.500E+00
6.80E+01,4.677E+01,2.510E-02,-3.917E+00,2.500E+00
6.90E+01,4.786E+01,2.846E-02,-4.013E+00,2.500E+00
7.00E+01,4.898E+01,2.746E-02,-4.114E+00,2.500E+00
7.10E+01,5.012E+01,3.100E-02,-4.199E+00,2.500E+00
7.20E+01,5.129E+01,3.429E-02,-4.297E+00,2.500E+00
7.30E+01,5.248E+01,3.918E-02,-4.395E+00,2.500E+00
7.40E+01,5.370E+01,4.222E-02,-4.501E+00,2.500E+00
7.50E+01,5.495E+01,4.452E-02,-4.610E+00,2.500E+00
7.60E+01,5.623E+01,4.718E-02,-4.710E+00,2.500E+00
7.70E+01,5.754E+01,4.994E-02,-4.828E+00,2.500E+00
7.80E+01,5.888E+01,5.271E-02,-4.949E+00,2.500E+00
7.90E+01,6.026E+01,5.782E-02,-5.075E+00,2.500E+00
8.00E+01,6.166E+01,6.012E-02,-5.182E+00,2.500E+00
8.10E+01,6.310E+01,6.532E-02,-5.303E+00,2.500E+00
8.20E+01,6.457E+01,7.162E-02,-5.435E+00,2.500E+00
8.30E+01,6.607E+01,7.512E-02,-5.582E+00,2.500E+00
8.40E+01,6.761E+01,7.929E-02,-5.688E+00,2.500E+00
8.50E+01,6.918E+01,8.228E-02,-5.836E+00,2.500E+00
8.60E+01,7.079E+01,8.775E-02,-5.972E+00,2.500E+00
8.70E+01,7.244E+01,9.259E-02,-6.112E+00,2.500E+00
8.80E+01,7.413E+01,1.004E-01,-6.258E+00,2.500E+00
8.90E+01,7.586E+01,1.051E-01,-6.411E+00,2.500E+00
9.00E+01,7.762E+01,1.128E-01,-6.565E+00,2.500E+00
9.10E+01,7.943E+01,1.186E-01,-6.720E+00,2.500E+00
9.20E+01,8.128E+01,1.234E-01,-6.887E+00,2.500E+00
9.30E+01,8.318E+01,1.290E-01,-7.060E+00,2.500E+00
9.40E+01,8.511E+01,1.360E-01,-7.214E+00,2.500E+00
9.50E+01,8.710E+01,1.466E-01,-7.419E+00,2.500E+00
9.60E+01,8.913E+01,1.528E-01,-7.587E+00,2.500E+00
9.70E+01,9.120E+01,1.635E-01,-7.766E+00,2.500E+00
9.80E+01,9.333E+01,1.716E-01,-7.954E+00,2.500E+00
9.90E+01,9.550E+01,1.809E-01,-8.152E+00,2.500E+00
1.00E+02,9.772E+01,1.894E-01,-8.349E+00,2.500E+00
1.01E+02,1.000E+02,1.983E-01,-8.557E+00,2.500E+00
1.02E+02,1.023E+02,2.112E-01,-8.777E+00,2.500E+00
1.03E+02,1.047E+02,2.211E-01,-8.991E+00,2.500E+00
1.04E+02,1.072E+02,2.338E-01,-9.218E+00,2.500E+00
1.05E+02,1.096E+02,2.460E-01,-9.422E+00,2.500E+00
1.06E+02,1.122E+02,2.578E-01,-9.660E+00,2.500E+00
1.07E+02,1.148E+02,2.688E-01,-9.904E+00,2.500E+00
1.08E+02,1.175E+02,2.833E-01,-1.016E+01,2.500E+00
1.09E+02,1.202E+02,2.990E-01,-1.042E+01,2.500E+00
1.10E+02,1.230E+02,3.120E-01,-1.069E+01,2.500E+00
1.11E+02,1.259E+02,3.313E-01,-1.096E+01,2.500E+00
1.12E+02,1.288E+02,3.463E-01,-1.125E+01,2.500E+00
1.13E+02,1.318E+02,3.639E-01,-1.154E+01,2.500E+00
1.14E+02,1.349E+02,3.813E-01,-1.184E+01,2.500E+00
1.15E+02,1.380E+02,4.000E-01,-1.214E+01,2.500E+00
1.16E+02,1.413E+02,4.218E-01,-1.247E+01,2.500E+00
1.17E+02,1.445E+02,4.412E-01,-1.278E+01,2.500E+00
1.18E+02,1.479E+02,4.644E-01,-1.312E+01,2.500E+00
1.19E+02,1.514E+02,4.875E-01,-1.347E+01,2.500E+00
1.20E+02,1.549E+02,5.115E-01,-1.383E+01,2.500E+00
1.21E+02,1.585E+02,5.335E-01,-1.420E+01,2.500E+00
1.22E+02,1.622E+02,5.607E-01,-1.459E+01,2.500E+00
1.23E+02,1.660E+02,5.890E-01,-1.499E+01,2.500E+00
1.24E+02,1.698E+02,6.190E-01,-1.539E+01,2.500E+00
1.25E+02,1.738E+02,6.475E-01,-1.581E+01,2.500E+00
1.26E+02,1.778E+02,6.791E-01,-1.625E+01,2.500E+00
1.27E+02,1.820E+02,7.127E-01,-1.672E+01,2.500E+00
1.28E+02,1.862E+02,7.473E-01,-1.719E+01,2.500E+00
1.29E+02,1.905E+02,7.817E-01,-1.768E+01,2.500E+00
1.30E+02,1.950E+02,8.196E-01,-1.820E+01,2.500E+00
1.31E+02,1.995E+02,8.593E-01,-1.874E+01,2.500E+00
1.32E+02,2.042E+02,8.999E-01,-1.927E+01,2.500E+00
1.33E+02,2.089E+02,9.432E-01,-1.983E+01,2.500E+00
1.34E+02,2.138E+02,9.919E-01,-2.042E+01,2.500E+00
1.35E+02,2.188E+02,1.037E+00,-2.103E+01,2.500E+00
1.36E+02,2.239E+02,1.087E+00,-2.166E+01,2.500E+00
1.37E+02,2.291E+02,1.138E+00,-2.233E+01,2.500E+00
1.38E+02,2.344E+02,1.188E+00,-2.302E+01,2.500E+00
1.39E+02,2.399E+02,1.244E+00,-2.377E+01,2.500E+00
1.40E+02,2.455E+02,1.303E+00,-2.455E+01,2.500E+00
1.41E+02,2.512E+02,1.364E+00,-2.536E+01,2.500E+00
1.42E+02,2.570E+02,1.425E+00,-2.619E+01,2.500E+00
1.43E+02,2.630E+02,1.489E+00,-2.707E+01,2.500E+00
1.44E+02,2.692E+02,1.520E+00,-2.801E+01,2.500E+00
1.45E+02,2.754E+02,1.592E+00,-2.897E+01,2.500E+00
1.46E+02,2.818E+02,1.665E+00,-2.998E+01,2.500E+00
1.47E+02,2.884E+02,1.742E+00,-3.105E+01,2.500E+00
1.48E+02,2.951E+02,1.816E+00,-3.219E+01,2.500E+00
1.49E+02,3.020E+02,1.900E+00,-3.338E+01,2.500E+00
1.50E+02,3.090E+02,1.981E+00,-3.463E+01,2.500E+00
1.51E+02,3.162E+02,2.065E+00,-3.596E+01,2.500E+00
1.52E+02,3.236E+02,2.151E+00,-3.738E+01,2.500E+00
1.53E+02,3.311E+02,2.240E+00,-3.886E+01,2.500E+00
1.54E+02,3.388E+02,2.326E+00,-4.042E+01,2.500E+00
1.55E+02,3.467E+02,2.417E+00,-4.207E+01,2.500E+00
1.56E+02,3.548E+02,2.503E+00,-4.384E+01,2.500E+00
1.57E+02,3.631E+02,2.587E+00,-4.572E+01,2.500E+00
1.58E+02,3.715E+02,2.670E+00,-4.772E+01,2.500E+00
1.59E+02,3.802E+02,2.750E+00,-4.985E+01,2.500E+00
1.60E+02,3.890E+02,2.823E+00,-5.208E+01,2.500E+00
1.61E+02,3.981E+02,2.887E+00,-5.446E+01,2.500E+00
1.62E+02,4.074E+02,2.947E+00,-5.697E+01,2.500E+00
1.63E+02,4.169E+02,2.996E+00,-5.955E+01,2.500E+00
1.64E+02,4.266E+02,3.031E+00,-6.228E+01,2.500E+00
1.65E+02,4.365E+02,3.052E+00,-6.510E+01,2.500E+00
1.66E+02,4.467E+02,3.052E+00,-6.808E+01,2.500E+00
1.67E+02,4.571E+02,3.023E+00,-7.116E+01,2.500E+00
1.68E+02,4.677E+02,2.966E+00,-7.434E+01,2.500E+00
1.69E+02,4.786E+02,2.891E+00,-7.766E+01,2.500E+00
1.70E+02,4.898E+02,2.782E+00,-8.105E+01,2.500E+00
1.71E+02,5.012E+02,2.649E+00,-8.447E+01,2.500E+00
1.72E+02,5.129E+02,2.482E+00,-8.789E+01,2.500E+00
1.73E+02,5.248E+02,2.288E+00,-9.127E+01,2.500E+00
1.74E+02,5.370E+02,2.063E+00,-9.462E+01,2.500E+00
1.75E+02,5.495E+02,1.803E+00,-9.792E+01,2.500E+00
1.76E+02,5.623E+02,1.520E+00,-1.012E+02,2.500E+00
1.77E+02,5.754E+02,1.210E+00,-1.043E+02,2.500E+00
1.78E+02,5.888E+02,8.742E-01,-1.074E+02,2.500E+00
1.79E+02,6.026E+02,5.142E-01,-1.103E+02,2.500E+00
1.80E+02,6.166E+02,1.371E-01,-1.132E+02,2.500E+00
1.81E+02,6.310E+02,-2.608E-01,-1.159E+02,2.500E+00
1.82E+02,6.457E+02,-6.678E-01,-1.186E+02,2.500E+00
1.83E+02,6.607E+02,-1.085E+00,-1.211E+02,2.500E+00
1.84E+02,6.761E+02,-1.511E+00,-1.234E+02,2.500E+00
1.85E+02,6.918E+02,-1.929E+00,-1.256E+02,2.500E+00
1.86E+02,7.079E+02,-2.381E+00,-1.278E+02,2.500E+00
1.87E+02,7.244E+02,-2.841E+00,-1.298E+02,2.500E+00
1.88E+02,7.413E+02,-3.309E+00,-1.318E+02,2.500E+00
1.89E+02,7.586E+02,-3.781E+00,-1.337E+02,2.500E+00
1.90E+02,7.762E+02,-4.241E+00,-1.355E+02,2.500E+00
1.91E+02,7.943E+02,-4.711E+00,-1.372E+02,2.500E+00
1.92E+02,8.128E+02,-5.185E+00,-1.387E+02,2.500E+00
1.93E+02,8.318E+02,-5.638E+00,-1.401E+02,2.500E+00
1.94E+02,8.511E+02,-6.100E+00,-1.415E+02,2.500E+00
1.95E+02,8.710E+02,-6.565E+00,-1.428E+02,2.500E+00
1.96E+02,8.913E+02,-7.034E+00,-1.440E+02,2.500E+00
1.97E+02,9.120E+02,-7.506E+00,-1.452E+02,2.500E+00
1.98E+02,9.333E+02,-7.976E+00,-1.464E+02,2.500E+00
1.99E+02,9.550E+02,-8.447E+00,-1.475E+02,2.500E+00
2.00E+02,9.772E+02,-8.907E+00,-1.486E+02,2.500E+00
