t,in,2,3
-1.000000E-04,2.000502E+00,1.9457898E+00,1.1697775E+00
-9.998400E-05,2.007697E+00,1.9390759E+00,1.1749655E+00
-9.996800E-05,2.006118E+00,1.9244275E+00,1.1744315E+00
-9.995200E-05,2.006644E+00,1.9360242E+00,1.1734396E+00
-9.993600E-05,2.012786E+00,1.9497571E+00,1.1717612E+00
-9.992000E-05,2.006644E+00,1.9320569E+00,1.1717612E+00
-9.990400E-05,2.003836E+00,1.9409070E+00,1.1703116E+00
-9.988800E-05,2.011206E+00,1.9311414E+00,1.1705405E+00
-9.987200E-05,1.996993E+00,1.9369397E+00,1.1695486E+00
-9.985600E-05,1.999976E+00,1.9302258E+00,1.1739737E+00
-9.984000E-05,1.999274E+00,1.9125256E+00,1.1722189E+00
-9.982400E-05,2.003310E+00,1.9253430E+00,1.1756522E+00
-9.980800E-05,1.996466E+00,1.9094739E+00,1.1709982E+00
-9.979200E-05,1.995414E+00,1.9183240E+00,1.1693198E+00
-9.977600E-05,2.005591E+00,1.9360242E+00,1.1713034E+00
-9.976000E-05,2.006644E+00,1.9369397E+00,1.1732108E+00
-9.974400E-05,2.002082E+00,1.9262585E+00,1.1744315E+00
-9.972800E-05,2.008925E+00,1.9262585E+00,1.1739737E+00
-9.971200E-05,2.005591E+00,1.9271741E+00,1.1715323E+00
-9.969600E-05,1.998748E+00,1.9329724E+00,1.1737448E+00